time,odrive0.axis0.encoder.gear_vel_estimate
2112.318,0.7091522216796875
2112.345,0.6567001342773438
2112.371,0.775909423828125
2112.439,0.775909423828125
2112.44,0.9809494018554688
2112.451,1.0381698608398438
2112.476,1.2765884399414062
2112.503,1.4959335327148438
2112.529,1.5626907348632812
2112.554,1.6962051391601562
2112.58,1.7391204833984375
2112.606,1.8583297729492188
2112.634,2.1205902099609375
2112.66,2.2779464721679688
2112.687,2.5020599365234375
2112.712,2.5735855102539062
2112.738,2.5926589965820312
2112.765,2.8263092041015625
2112.79,2.9598236083984375
2112.816,3.2459259033203125
2112.844,3.0790328979492188
2112.87,3.38897705078125
2112.896,3.6607742309570312
2112.922,3.6703109741210938
2112.948,3.6321640014648438
2112.974,3.7036895751953125
2113,3.6226272583007812
2113.027,3.5892486572265625
2113.053,3.8133621215820312
2113.079,3.5749435424804688
2113.106,3.8181304931640625
2113.131,3.9278030395507812
2113.156,3.8753509521484375
2113.183,3.7466049194335938
2113.208,3.5320281982421875
2113.234,3.69415283203125
2113.261,3.6846160888671875
2113.286,3.6893844604492188
2113.313,3.7752151489257812
2113.339,3.7275314331054688
2113.365,3.92303466796875
2113.432,3.636932373046875
2113.433,3.7370681762695312
2113.449,3.5463333129882812
2113.475,3.4509658813476562
2113.5,3.6655426025390625
2113.526,3.6846160888671875
2113.552,3.6989212036132812
2113.578,3.7990570068359375
2113.605,3.8372039794921875
2113.63,3.6893844604492188
2113.658,4.004096984863281
2113.682,3.77044677734375
2113.708,3.827667236328125
2113.733,3.5844802856445312
2113.759,3.6703109741210938
2113.785,3.5463333129882812
2113.811,3.6798477172851562
2113.837,3.7036895751953125
2113.865,3.827667236328125
2113.892,3.8515090942382812
2113.919,3.7990570068359375
2113.945,3.8705825805664062
2113.971,3.5940170288085938
2113.997,3.8133621215820312
2114.024,3.7084579467773438
2114.049,3.8419723510742188
2114.075,3.6273956298828125
2114.104,3.9087295532226562
2114.13,3.6893844604492188
2114.207,3.8038253784179688
2114.235,3.9468765258789062
2114.257,3.69415283203125
2114.283,3.92303466796875
2114.308,3.7179946899414062
2114.333,3.5654067993164062
2114.359,3.5320281982421875
2114.419,3.7561416625976562
2114.42,3.5511016845703125
2114.435,3.7990570068359375
2114.462,3.8515090942382812
2114.487,3.636932373046875
2114.513,3.8038253784179688
2114.553,3.8419723510742188
2114.578,3.6798477172851562
2114.603,3.8228988647460938
2114.628,3.598785400390625
2114.657,3.84674072265625
2114.681,3.6846160888671875
2114.711,3.789520263671875
2114.732,3.7466049194335938
2114.757,3.6989212036132812
2114.783,3.7322998046875
2114.809,3.84674072265625
2114.834,3.7609100341796875
2114.859,3.5272598266601562
2114.884,3.7036895751953125
2114.91,3.6655426025390625
2114.934,3.84674072265625
2114.96,3.7275314331054688
2114.986,3.6417007446289062
2115.012,3.6512374877929688
2115.039,3.7990570068359375
2115.066,3.6703109741210938
2115.091,3.5892486572265625
2115.192,3.5940170288085938
2115.193,3.54156494140625
2115.198,3.6703109741210938
2115.263,3.9134979248046875
2115.264,3.8419723510742188
2115.323,3.8372039794921875
2115.324,3.7466049194335938
2115.345,3.751373291015625
2115.374,3.6512374877929688
2115.38,3.7418365478515625
2115.382,3.446197509765625
2115.408,3.8133621215820312
2115.433,3.5940170288085938
2115.464,3.8610458374023438
2115.484,3.80859375
2115.511,3.7036895751953125
2115.536,3.7847518920898438
2115.561,3.6798477172851562
2115.585,3.7847518920898438
2115.61,3.5463333129882812
2115.636,3.5892486572265625
2115.663,3.7752151489257812
2115.712,3.7370681762695312
2115.714,3.80859375
2115.746,3.4795761108398438
2115.765,3.7990570068359375
2115.797,3.7036895751953125
2115.816,3.8038253784179688
2115.855,3.8705825805664062
2115.866,3.7322998046875
2115.898,3.6989212036132812
2115.919,3.7179946899414062
2115.975,3.6655426025390625
2115.976,4.0279388427734375
2116.005,3.9087295532226562
2116.017,4.07562255859375
2116.054,3.7847518920898438
2116.066,3.8944244384765625
2116.11,3.8038253784179688
2116.116,3.7275314331054688
2116.155,3.7084579467773438
2116.168,3.9087295532226562
2116.205,3.9659500122070312
2116.219,3.6273956298828125
2116.256,3.8038253784179688
2116.276,3.9373397827148438
2116.306,3.7084579467773438
2116.326,3.84674072265625
2116.356,3.7179946899414062
2116.378,3.8324356079101562
2116.406,3.7179946899414062
2116.429,3.9945602416992188
2116.456,3.8372039794921875
2116.48,3.9087295532226562
2116.511,3.9134979248046875
2116.535,3.7418365478515625
2116.559,3.789520263671875
2116.585,3.7466049194335938
2116.615,3.522491455078125
2116.655,3.69415283203125
2116.665,3.6846160888671875
2116.705,3.8038253784179688
2116.716,3.656005859375
2116.764,3.7466049194335938
2116.767,3.8801193237304688
2116.797,3.7847518920898438
2116.818,3.8515090942382812
2116.845,3.5511016845703125
2116.87,3.8991928100585938
2116.895,3.9278030395507812
2116.921,3.7752151489257812
2116.955,3.7179946899414062
2116.971,3.751373291015625
2117.011,3.5654067993164062
2117.023,3.5701751708984375
2117.061,3.7036895751953125
2117.076,3.6989212036132812
2117.109,3.6703109741210938
2117.126,3.5367965698242188
2117.157,3.6035537719726562
2117.176,3.7752151489257812
2117.209,3.5654067993164062
2117.228,3.4938812255859375
2117.265,3.331756591796875
2117.285,3.3555984497070312
2117.31,3.2649993896484375
2117.335,3.1887054443359375
2117.365,2.835845947265625
2117.397,2.759552001953125
2117.415,2.9264450073242188
2117.446,2.5735855102539062
2117.465,2.5402069091796875
2117.5,2.4114608764648438
2117.516,2.32086181640625
2117.546,2.2016525268554688
2117.566,2.1015167236328125
2117.607,2.0395278930664062
2117.622,1.8392562866210938
2117.659,1.7486572265625
2117.674,1.7248153686523438
2117.706,1.6485214233398438
2117.723,1.5436172485351562
2117.762,1.5054702758789062
2117.782,1.4005661010742188
2117.807,1.2098312377929688
2117.832,1.2050628662109375
2117.858,0.9952545166015625
2117.883,0.9523391723632812
2117.908,0.928497314453125
2117.933,0.7234573364257812
2117.961,0.7520675659179688
2117.986,0.6567001342773438
2118.012,0.5422592163085938
2118.046,0.43735504150390625
2118.063,0.299072265625
2118.096,0.21800994873046875
2118.114,0.08449554443359375
2118.145,-0.00133514404296875
2118.165,0.0225067138671875
2118.211,0.0225067138671875
2118.215,-0.04425048828125
2118.247,0.051116943359375
2118.269,0.03204345703125
2118.298,-0.04901885986328125
2118.321,0.03681182861328125
2118.358,0.01773834228515625
2118.372,0.012969970703125
2118.408,-0.0156402587890625
2118.424,-0.0537872314453125
2118.462,0.0225067138671875
2118.474,-0.0156402587890625
2118.507,0.05588531494140625
2118.527,-0.03948211669921875
2118.566,-0.01087188720703125
2118.578,0.03681182861328125
2118.606,-0.05855560302734375
2118.63,0.02727508544921875
2118.656,-0.025177001953125
2118.681,0.0701904296875
2118.713,0.03681182861328125
2118.732,0.00820159912109375
2118.761,-0.0156402587890625
2118.784,0.012969970703125
2118.817,-0.063323974609375
2118.867,-0.03948211669921875
